Inc:  ISB #,Inc: Created date,Inc: Date sent to field,Inc: Org:  Workstation,Route: Sent date,Route: Sent time,Route: Reviewer,Task: Task type,Task: Due date,Task: Completed date,Pending Corrections,Inc: Incident type,Inc: In BlueTeam
ID-1498,45355,45355,ID-2311,46244,0.6541666666666666,Dannie Littel,Action Plan,46092,46238,No,ID-2199,Yes
ID-3809,45630,45631,ID-5936,46267,0.7354166666666666,Beverly Wuckert,Action Plan,45638,45701,No,ID-2199,Yes
ID-3248,45649,45877,ID-2311,45814,0.538888888888889,Ms. Kiel Bahringer,Action Plan,45821,45960,No,ID-2199,Yes
ID-2436,45649,45652,ID-2628,45652,0.6312500000000001,Ms. Kiel Bahringer,Action Plan,45659,45741,No,ID-2199,Yes
ID-8180,45664,45716,ID-2311,46267,0.7694444444444444,Gunnar VonRueden II,Action Plan,45723,46170,No,ID-2199,Yes
ID-6945,45666,45877,ID-2311,46232,0.5319444444444446,Ms. Marquis Daniel,Action Plan,45821,45985,No,ID-2199,Yes
ID-1498,45684,45877,ID-2311,45814,0.6499999999999999,Dannie Littel,Action Plan,45821,45960,No,ID-2199,Yes
ID-9588,45685,45685,ID-2628,46267,0.45833333333333326,Archibald Conn,Action Plan,45692,45687,No,ID-2199,Yes
ID-3214,45691,45692,ID-7652,45692,0.5166666666666666,Obie Carroll,Action Plan,45699,45700,No,ID-2199,Yes
ID-1498,45691,45692,ID-2866,45692,0.5166666666666666,Lacy Hackett,Action Plan,45699,45702,No,ID-2199,Yes
ID-9515,45730,45814,ID-7121,45814,0.8583333333333334,Hannah Hackett I,Action Plan,45821,45818,No,ID-2199,Yes
ID-9897,45739,45742,ID-6850,46254,0.6159722222222221,Constantin Jerde,Action Plan,45749,45753,No,ID-2199,Yes
ID-7582,45749,45751,ID-7153,46191,0.6479166666666667,Irma Lubowitz,Action Plan,45758,45964,No,ID-2199,Yes
ID-8180,45750,45989,ID-7427,45989,0.44166666666666665,Ms. Kiel Bahringer,Action Plan,46006,46010,No,ID-2199,Yes
ID-9847,45751,45757,ID-3928,45757,0.4458333333333333,Ms. Kiel Bahringer,Action Plan,45764,45848,No,ID-2199,Yes
ID-9897,45757,45779,ID-3928,45779,0.39236111111111116,Ms. Kiel Bahringer,Action Plan,45786,45848,No,ID-2199,Yes
ID-9515,45772,45790,ID-7652,45790,0.523611111111111,Karen Moen,Action Plan,45797,45835,No,ID-2199,Yes
ID-1745,45775,45790,ID-3058,46034,0.6451388888888889,Miss Holden Herzog,Action Plan,45795,45825,No,ID-2199,Yes
ID-1745,45778,45792,ID-4093,46267,0.7229166666666667,Ms. Kiel Bahringer,Action Plan,45799,45905,No,ID-2199,Yes
ID-8180,45796,45890,ID-6495,46248,0.5027777777777778,Camille Gislason MD,Action Plan,45897,45958,No,ID-2199,Yes
ID-9515,45819,45820,ID-7153,46234,0.44791666666666674,Ms. Kiel Bahringer,Action Plan,45827,45896,No,ID-2199,Yes
ID-1745,45846,46155,ID-1346,45846,0.6611111111111112,Ms. Kiel Bahringer,Action Plan,45853,,Yes,ID-2199,Yes
ID-7582,45868,46030,ID-2256,45950,0.6166666666666667,Ms. Kiel Bahringer,Action Plan,45876,46038,No,ID-2199,Yes
ID-2436,45874,46210,ID-7453,46210,0.38888888888888884,Jess Lebsack,Action Plan,45884,46100,No,ID-2199,Yes
ID-9515,45912,45936,ID-7342,46233,0.7222222222222223,Ms. Kiel Bahringer,Action Plan,45919,45916,No,ID-2199,Yes
ID-4712,45923,46171,ID-6798,46010,0.7055555555555555,Ms. Kiel Bahringer,Action Plan,46069,46188,No,ID-2199,Yes
